Absorption/nm,Emission/nm,PLQY,SMILES,solvent,Reference(doi),Et30,SP,SdP,SA,SB,"Test method of Quantum Yield (0= measured by relative method/not mention in origin paper, 1= absolute QY)",Unnamed: 13,solvent_smiles
388.0,524.0,0.42,BrC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
384.0,526.0,0.51,COC1=CC=CC(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=C1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
387.0,529.0,0.83,O=C(C1=CC2=NC(C(C=C3)=CC=C3N4C=CN=C4)=C(NC5CCCCC5)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
392.0,530.0,0.64,CN1C(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=CC=C1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
391.0,531.0,0.1,OC1=CC(OC)=CC=C1C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
392.0,532.0,0.67,ClC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
400.0,532.0,0.63,O=C(C1=CC2=NC(C3=CNC=N3)=C(NC4CCCCC4)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
393.0,533.0,0.31,O=C(C1=CC2=NC(C(O3)=CC=C3S(=O)(O)=O)=C(NC4CCCCC4)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
394.0,534.0,0.1,OC1=CC(O)=CC=C1C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
398.0,535.0,0.71,CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
399.0,568.0,0.42,CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=[N+]2C,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
368.0,500.0,0.46,CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
382.0,539.0,0.62,O=C(C1=CC2=NC(C3=CC=CC=C3S(=O)(O)=O)=C(NC4CCCCC4)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
392.0,542.0,0.51,C/C(C1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1)=C\C4=CC=CC=C4,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
413.0,558.0,0.37,O=C(C1=CC2=NC(/C=C/C3=CC=CO3)=C(NC4CCCCC4)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
414.0,559.0,0.42,O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
365.0,514.0,0.23,COC(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
434.0,573.0,0.35,CN(C)C(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
407.0,520.0,0.24,CN(C)C(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
400.0,528.0,0.27,FC1=CC=C(C=C1)NC2=C(/C=C/C3=CC=C(OC)C=C3)N=C4C=C(C(OC)=O)C=CN42,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
384.0,542.0,0.52,O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCCN4CCOCC4)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
416.0,554.0,0.48,CC(C)(C)NC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
410.0,555.0,0.37,O=C(OC(C)(C)C)CNC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
411.0,556.0,0.39,O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCC(OC)=O)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
419.0,556.0,0.52,O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCC4=CC=CC=C4)N2C=C1)OC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
413.0,558.0,0.49,CC(C)NC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
391.0,532.0,0.62,CC1=CC=C(C2=C(N3C=CC(C(OC)=O)=CC3=N2)NCC(N(CCC)CCC)=O)O1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
413.0,558.0,0.49,O=C(CNC(N1C=C2)=C(/C=C/C3=CC=C(C=C3)OC)N=C1C=C2C(OC)=O)N(CCC)CCC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
385.0,524.0,0.68,COC(C1=CC2=NC(C3=CC=C(Cl)C=C3)=C(N2C=C1)NCC(N(CCC)CCC)=O)=O,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
390.0,530.0,0.11,O=C(CNC(N1C=C2)=C(C3=C(O)C=C(C)C=C3)N=C1C=C2C(OC)=O)N(CCC)CCC,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
387.0,520.0,0.89,ClC(C=C1)=CC=C1C2=C(NCC(N(CCC)CCC)=O)N(C=CC(C#N)=C3)C3=N2,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
430.0,513.0,0.55,NC1=C(C2=CC=C(Cl)C=C2)N=C3C=C(C#N)C=CN31,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
342.0,424.0,0.28,NC1=CC(C(OC)=O)=CC=N1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
326.0,411.0,0.27,NC1=CC=CC(C(OC)=O)=N1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
296.0,350.0,0.005,NC1=NC=CC=N1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
321.0,383.0,0.4,NC1=NC=CN=C1,DMSO,10.1021ja204016e_0306,45.1,0.83,1.0,0.072,0.647,0.0,,C[S](C)=O
562.0,585.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC)c(OC)c1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
567.0,595.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCc3ccccc3)c(OCc3ccccc3)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
564.0,582.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1ccccc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
536.0,545.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cc4c1cccc4)cccc3)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
567.0,597.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCc3ccccc3)c(OC)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
561.0,578.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(-n3ccnc3)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
555.0,570.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1)C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
559.0,569.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(F)ccc1F)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
554.0,568.0,,Brc1cc(ccc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
556.0,570.0,,Clc1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
557.0,572.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(O)c(O)c1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
561.0,576.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C#N)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
559.0,578.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(C)c(Oc3ccccc3)c(c1)C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
565.0,589.0,,S(C)c1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
557.0,573.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(C)C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
555.0,570.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(Oc3ccccc3)ccc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
567.0,585.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1occc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
564.0,587.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1)cccc3)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
560.0,579.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1ccccc1OC)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
554.0,568.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
567.0,585.0,,Clc1cc(cc(OC)c1O)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
596.0,649.0,,s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)-c1sccc1,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
575.0,639.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(OC)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
564.0,585.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1O)C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
546.0,585.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1C)cccc3)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
563.0,577.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1nc3c(cc1)cccc3)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
567.0,596.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(cc1)C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
565.0,586.0,,s1cc(c2c1cccc2)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
566.0,589.0,,Clc1c(O)c(OC)ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
556.0,573.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1-c1ccccc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
566.0,595.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC(=O)C)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
555.0,570.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(Oc3ccc(OC)cc3)ccc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
564.0,587.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1O)C(C)(C)C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
576.0,593.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1cc(OC)c(OC(=O)C)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
565.0,587.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCCCC)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
565.0,589.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCC)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
564.0,586.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCC=C)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
563.0,581.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(OCC)OCC)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
560.0,583.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ncc1)cccc3)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
563.0,585.0,,Brc1ccc(cc1)COc1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
568.0,600.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCC)c(OCC)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
561.0,578.0,,Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(OC)cc1,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
560.0,575.0,,Clc1cc(Cl)cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c1O,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
560.0,576.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(cc(C=O)c1O)C(C)(C)C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
575.0,614.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1OC)cccc3)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
567.0,597.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
568.0,599.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OCC)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
562.0,580.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)c([N+](=O)[O-])cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
589.0,625.0,,s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)-c1ccccc1,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
540.0,575.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(C)c(C)c(C)c(C)c1C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
563.0,579.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC(F)(F)F)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
564.0,585.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)\C=C\c1ccccc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
549.0,565.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccoc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
569.0,596.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1nccn1C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
562.0,585.0,,Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(O)cc1,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
560.0,586.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\OC(C)(C)C)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
571.0,592.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc-3c(Cc4c-3cccc4)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
558.0,573.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)CCC)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
557.0,578.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1[nH]cnc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
578.0,608.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c(OC)cc(OC)cc1OC)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
556.0,573.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cccc(OC)c1OC)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
578.0,603.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C(\c1ccccc1)/c1ccccc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
564.0,581.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1ncccc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
575.0,614.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c4c(CCc4ccc3)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
564.0,586.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCc3ccccc3)cc1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
574.0,618.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC(=O)C)c(OC)c1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
587.0,639.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3cc(OC)ccc3[nH]c1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
575.0,628.0,,F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(O)c(OC)c1)C=CC=2,DMSO,10.1002/minf.201000089,45.1,0.83,1.0,0.072,0.647,,,C[S](C)=O
